accumulate,lr,proba_drop_chm,proba_drop_rgb,best_epoch,model_name,Data used for evaluation,Best sortedAP
12,0.006,0.1,0.1,88,exp0_0fdeeb44f41a4551b5f80f3186f18e5f,CHM only,0.209948192
36,0.0025,0.333,0.333,183,exp0_51eb911ebcb144a2bd1295f7505158a8,"RGB, CIR and CHM",0.197650283
36,0.0025,0.333,0.333,183,exp0_51eb911ebcb144a2bd1295f7505158a8,RGB and CIR,0.176487559
36,0.0025,0.333,0.333,183,exp0_51eb911ebcb144a2bd1295f7505158a8,CHM only,0.189684973
24,0.001,0.333,0.333,737,exp0_027a6c565ff04d809436173ec515952e,"RGB, CIR and CHM",0.133926559
24,0.001,0.333,0.333,737,exp0_027a6c565ff04d809436173ec515952e,RGB and CIR,0.131140989
24,0.001,0.333,0.333,737,exp0_027a6c565ff04d809436173ec515952e,CHM only,0.140071924
36,0.0025,0.1,0.1,500,exp0_2f02629adc2a49be9c872eba172ecc60,"RGB, CIR and CHM",0.148651662
36,0.0025,0.1,0.1,500,exp0_2f02629adc2a49be9c872eba172ecc60,RGB and CIR,0.141169812
36,0.0025,0.1,0.1,500,exp0_2f02629adc2a49be9c872eba172ecc60,CHM only,0.146501179
24,0.006,0,0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,"RGB, CIR and CHM",0.199326267
24,0.006,0,0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,RGB and CIR,0.033001741
24,0.006,0,0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,CHM only,0.12749359
12,0.0025,0.1,0.1,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,"RGB, CIR and CHM",0.24212414
12,0.0025,0.1,0.1,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,RGB and CIR,0.208071426
12,0.0025,0.1,0.1,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,CHM only,0.171589578
12,0.006,0,0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,"RGB, CIR and CHM",0.251036214
12,0.006,0,0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,RGB and CIR,0.077542532
12,0.006,0,0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,CHM only,0.169422502
6,0.006,0,0,97,exp0_85fecfb3c81249129413488c1680fac8,"RGB, CIR and CHM",0.276999934
6,0.006,0,0,97,exp0_85fecfb3c81249129413488c1680fac8,RGB and CIR,0.108328912
6,0.006,0,0,97,exp0_85fecfb3c81249129413488c1680fac8,CHM only,0.154503447
24,0.01,0,0,105,exp0_eecab4c426da459fb03447639cd41802,"RGB, CIR and CHM",0.131955737
24,0.01,0,0,105,exp0_eecab4c426da459fb03447639cd41802,RGB and CIR,0.141494502
24,0.01,0,0,105,exp0_eecab4c426da459fb03447639cd41802,CHM only,0.066531438
6,0.0025,0,0,43,exp0_e23797c7f83145ab9c04b06e4c596cca,"RGB, CIR and CHM",0.240050676
6,0.0025,0,0,43,exp0_e23797c7f83145ab9c04b06e4c596cca,RGB and CIR,0.187695574
6,0.0025,0,0,43,exp0_e23797c7f83145ab9c04b06e4c596cca,CHM only,0.136205318
6,0.001,0,0,128,exp0_ed72fd0d05d74983b347f86df9524091,"RGB, CIR and CHM",0.207900754
6,0.001,0,0,128,exp0_ed72fd0d05d74983b347f86df9524091,RGB and CIR,0.071556169
6,0.001,0,0,128,exp0_ed72fd0d05d74983b347f86df9524091,CHM only,0.070070312
6,0.001,0.1,0.1,124,exp0_cfafe6eba1174101a94a85eeb3d63ba6,"RGB, CIR and CHM",0.184565954
6,0.001,0.1,0.1,124,exp0_cfafe6eba1174101a94a85eeb3d63ba6,RGB and CIR,0.159073962
6,0.001,0.1,0.1,124,exp0_cfafe6eba1174101a94a85eeb3d63ba6,CHM only,0.182867846
12,0.01,0.333,0.333,170,exp0_bcacf8bd43254703b8e2eb050bad40ed,"RGB, CIR and CHM",0.127414281
12,0.01,0.333,0.333,170,exp0_bcacf8bd43254703b8e2eb050bad40ed,RGB and CIR,0.231399051
12,0.01,0.333,0.333,170,exp0_bcacf8bd43254703b8e2eb050bad40ed,CHM only,0.085428658
6,0.0025,0.333,0.333,66,exp0_afe01a0633d6417882e8434491885e71,"RGB, CIR and CHM",0.193319894
6,0.0025,0.333,0.333,66,exp0_afe01a0633d6417882e8434491885e71,RGB and CIR,0.208930769
6,0.0025,0.333,0.333,66,exp0_afe01a0633d6417882e8434491885e71,CHM only,0.099083754
6,0.001,0.333,0.333,118,exp0_8bb15f4114da45ed85be246722bc79ab,"RGB, CIR and CHM",0.226898406
6,0.001,0.333,0.333,118,exp0_8bb15f4114da45ed85be246722bc79ab,RGB and CIR,0.197882575
6,0.001,0.333,0.333,118,exp0_8bb15f4114da45ed85be246722bc79ab,CHM only,0.201376713
6,0.006,0.333,0.333,100,exp0_26c583e00a3d41c58b68c5fefde2d545,"RGB, CIR and CHM",0.265420677
6,0.006,0.333,0.333,100,exp0_26c583e00a3d41c58b68c5fefde2d545,RGB and CIR,0.243166645
6,0.006,0.333,0.333,100,exp0_26c583e00a3d41c58b68c5fefde2d545,CHM only,0.214736584
6,0.006,0.1,0.1,169,exp0_eee56c9827bc4e938138c6e8166a9451,"RGB, CIR and CHM",0.255918387
6,0.006,0.1,0.1,169,exp0_eee56c9827bc4e938138c6e8166a9451,RGB and CIR,0.207046988
6,0.006,0.1,0.1,169,exp0_eee56c9827bc4e938138c6e8166a9451,CHM only,0.182318048
6,0.01,0.1,0.1,87,exp0_1343571fcf624b76bd494c44a9eb4d6b,"RGB, CIR and CHM",0.185042604
6,0.01,0.1,0.1,87,exp0_1343571fcf624b76bd494c44a9eb4d6b,RGB and CIR,0.227989024
6,0.01,0.1,0.1,87,exp0_1343571fcf624b76bd494c44a9eb4d6b,CHM only,0.100109327
12,0.01,0.1,0.1,103,exp0_5f2d0a1a6c5248cba1779de8ce4c7916,"RGB, CIR and CHM",0.16080767
12,0.01,0.1,0.1,103,exp0_5f2d0a1a6c5248cba1779de8ce4c7916,RGB and CIR,0.24472429
12,0.01,0.1,0.1,103,exp0_5f2d0a1a6c5248cba1779de8ce4c7916,CHM only,0.087127752
6,0.0025,0.1,0.1,53,exp0_89d2f601e8234a098df172778feb5e3c,"RGB, CIR and CHM",0.223161855
6,0.0025,0.1,0.1,53,exp0_89d2f601e8234a098df172778feb5e3c,RGB and CIR,0.214111432
6,0.0025,0.1,0.1,53,exp0_89d2f601e8234a098df172778feb5e3c,CHM only,0.17686577
24,0.01,0.333,0.333,136,exp0_9d391f8153e644519426d7bf0875b232,"RGB, CIR and CHM",0.293007662
24,0.01,0.333,0.333,136,exp0_9d391f8153e644519426d7bf0875b232,RGB and CIR,0.238006716
24,0.01,0.333,0.333,136,exp0_9d391f8153e644519426d7bf0875b232,CHM only,0.234853121
36,0.01,0,0,76,exp0_afe4a8646fa54f66a051fe7b9c4380ed,"RGB, CIR and CHM",0.24929889
36,0.01,0,0,76,exp0_afe4a8646fa54f66a051fe7b9c4380ed,RGB and CIR,0.154211372
36,0.01,0,0,76,exp0_afe4a8646fa54f66a051fe7b9c4380ed,CHM only,0.153297755
36,0.01,0.333,0.333,179,exp0_f13ac07815144e3eba8733e5172a5099,"RGB, CIR and CHM",0.249381418
36,0.01,0.333,0.333,179,exp0_f13ac07815144e3eba8733e5172a5099,RGB and CIR,0.236078078
36,0.01,0.333,0.333,179,exp0_f13ac07815144e3eba8733e5172a5099,CHM only,0.186640834
6,0.01,0,0,82,exp0_4742c51f7a004c85929d8c564b6845c5,"RGB, CIR and CHM",0.259924454
6,0.01,0,0,82,exp0_4742c51f7a004c85929d8c564b6845c5,RGB and CIR,0.025836452
6,0.01,0,0,82,exp0_4742c51f7a004c85929d8c564b6845c5,CHM only,0.13388204
12,0.01,0,0,84,exp0_c05c6e000d1d45d89321ce707d52465b,"RGB, CIR and CHM",0.162344195
12,0.01,0,0,84,exp0_c05c6e000d1d45d89321ce707d52465b,RGB and CIR,0.140854963
12,0.01,0,0,84,exp0_c05c6e000d1d45d89321ce707d52465b,CHM only,0.096713474
24,0.01,0.1,0.1,101,exp0_1b163bf1cb8a4a8eb2e0dc84acf06bab,"RGB, CIR and CHM",0.261846572
24,0.01,0.1,0.1,101,exp0_1b163bf1cb8a4a8eb2e0dc84acf06bab,RGB and CIR,0.206679944
24,0.01,0.1,0.1,101,exp0_1b163bf1cb8a4a8eb2e0dc84acf06bab,CHM only,0.206269965
36,0.01,0.1,0.1,148,exp0_614a2e75f5b64825a83ad0e87e0d4fb3,"RGB, CIR and CHM",0.154530782
36,0.01,0.1,0.1,148,exp0_614a2e75f5b64825a83ad0e87e0d4fb3,RGB and CIR,0.222236409
36,0.01,0.1,0.1,148,exp0_614a2e75f5b64825a83ad0e87e0d4fb3,CHM only,0.084472503
6,0.01,0.333,0.333,110,exp0_39512aa717fc4ad0bf34ee2c618af61a,"RGB, CIR and CHM",0.292632796
6,0.01,0.333,0.333,110,exp0_39512aa717fc4ad0bf34ee2c618af61a,RGB and CIR,0.256180936
6,0.01,0.333,0.333,110,exp0_39512aa717fc4ad0bf34ee2c618af61a,CHM only,0.233359665
