chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
"[[-inf, 3], [3, 9], [9, inf]]",exp4,61,exp4_bdc22f74dc3846e78b5fe9bb90f58ef8,RGB and CIR,0.13787852482850554
"[[-inf, 3], [3, 9], [9, inf]]",exp4,61,exp4_bdc22f74dc3846e78b5fe9bb90f58ef8,CHM only,0.22293299822840307
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,"RGB, CIR and CHM",0.2511658565509078
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,RGB and CIR,0.014712118443786384
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,CHM only,0.031519044546545
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,"RGB, CIR and CHM",0.2825473304002802
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,RGB and CIR,0.081008154635542
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,CHM only,0.0596172241579188
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,"RGB, CIR and CHM",0.2250626125806133
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,RGB and CIR,0.24044922851649844
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,CHM only,0.0414897287034077
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,"RGB, CIR and CHM",0.23719524340463288
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,RGB and CIR,0.2514069749993977
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,CHM only,0.044280792077039645
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,"RGB, CIR and CHM",0.21104048772069653
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,RGB and CIR,0.21836933520778015
