chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP,Agnostic
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,"RGB, CIR and CHM",0.261424882,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,RGB and CIR,0.007642614,FALSE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,141,exp3_a4a42c560b534f07b2d73db088ae8c78,CHM only,0.000359774,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,"RGB, CIR and CHM",0.227235302,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,RGB and CIR,1.72E-05,FALSE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,105,exp4_d58deca0ae664d3bb77896fb4d8193ca,CHM only,0.004992756,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,"RGB, CIR and CHM",0.260850192,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,RGB and CIR,0,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,124,exp3_6cc946fa98144e69b75e7433efdc46aa,CHM only,0.092184222,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,"RGB, CIR and CHM",0.273656759,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,RGB and CIR,0,FALSE
"[[-inf, inf]]",exp4,123,exp4_b1a84734bb4e44f4be0a30bbf990ebbc,CHM only,0.017935463,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,"RGB, CIR and CHM",0.176845182,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,RGB and CIR,0.003832936,FALSE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_c09aaf8cd03b411fb2ff34804f955b24,CHM only,2.53E-05,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,97,exp0_84698774803a4533a086952fee79d2bb,"RGB, CIR and CHM",0.231851681,FALSE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,97,exp0_84698774803a4533a086952fee79d2bb,RGB and CIR,0.000529275,FALSE
